Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6f8Yc5wcFXugB8Jx3kPbeP,"Shine your light on me","Shine your light on me","Uwe Felchle Project",2023-11-24,161462,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:49Z,"","FUNKY MOOSE RECORDS",0.485,0.77,9,-5.881,0,0.0274,0.00266,0.0281,0.215,0.241,87.994,4
spotify:track:2Xie3zYp1ntMPq0kFIe1Yj,"More Than Words Can Tell","Cavern Spot","Uwe Felchle Project",2023-11-11,166710,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.655,0.668,7,-6.8,1,0.0237,0.0741,0.0248,0.0912,0.445,99.999,4
spotify:track:4rAaFn4xgswN9ci1aojysK,"Wonderful Life","Cavern Spot","Uwe Felchle Project",2023-11-11,157894,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.528,0.69,7,-7.847,1,0.0341,0.1,0.00191,0.171,0.575,76.009,4
spotify:track:7q72noyU7GYeXQ1fNQbGbW,"White Doves Fly Away","Cavern Spot","Uwe Felchle Project",2023-11-11,192000,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.49,0.798,0,-9.334,1,0.0566,0.0191,0.504,0.594,0.316,100.233,4
spotify:track:0pNoWa63GfqLOewDETZAcm,"Shine Your Light On Me","Cavern Spot","Uwe Felchle Project",2023-11-11,163157,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.483,0.795,9,-6.609,0,0.0292,0.00267,0.0674,0.119,0.173,88.009,4
spotify:track:3ARxww9VDJpZZjmRl3e7QI,"Poppy Seed Cake","Cavern Spot","Uwe Felchle Project",2023-11-11,176551,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.541,0.704,2,-9.156,0,0.0335,0.142,0.00358,0.351,0.446,86.99,4
spotify:track:7gFFMruK1RvpwYaVZIOj0v,"Oh-Ouh-Ough","Cavern Spot","Uwe Felchle Project",2023-11-11,236457,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.536,0.575,0,-8.177,1,0.0379,0.632,0.0628,0.0682,0.505,142.011,4
spotify:track:3inelIwLFdJIBAfSMgvCCB,"The Gunman & the Priest","Cavern Spot","Uwe Felchle Project",2023-11-11,225047,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.412,0.588,9,-10.249,0,0.0407,0.0281,0.0253,0.0947,0.088,94.964,4
spotify:track:67ItZoxqjWh3f4UYhj514I,"Never Blame the Pyromaniac","Cavern Spot","Uwe Felchle Project",2023-11-11,235764,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.512,0.673,4,-7.308,0,0.0441,0.171,0.0105,0.104,0.774,169.989,4
spotify:track:7dmiYRZ9YIDuv7VYPZVC60,"Because of You!","Cavern Spot","Uwe Felchle Project",2023-11-11,147692,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.606,0.712,0,-9.054,1,0.0332,0.386,0,0.07,0.467,103.974,4
spotify:track:58XKL2ho30M7AuFkDejRUB,"Living Just 4 You","Cavern Spot","Uwe Felchle Project",2023-11-11,211200,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.501,0.521,9,-9.038,0,0.0258,0.0867,0.792,0.118,0.171,99.994,4
spotify:track:0o6sF4dMLkrUrSR6bqMRbx,"A Doggie’s Dream","Cavern Spot","Uwe Felchle Project",2023-11-11,225000,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.468,0.525,9,-7.892,1,0.0259,0.0867,0,0.341,0.505,160.376,4
spotify:track:0BxSU5h0LIYnRhFJl82X8N,"One Road","Cavern Spot","Uwe Felchle Project",2023-11-11,254240,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.668,0.521,7,-9.197,1,0.0373,0.527,0.00189,0.345,0.65,129.991,4
spotify:track:7FhZI7uM4XD3m54xkh9qjy,"Trace of Gloom","Cavern Spot","Uwe Felchle Project",2023-11-11,195000,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.745,0.551,7,-8.495,1,0.0312,0.295,0.0000597,0.231,0.779,96.038,4
spotify:track:24VKbDSMCMxOXxiiVPi0nS,"Different Shoes","Cavern Spot","Uwe Felchle Project",2023-11-11,235275,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:52Z,"","FUNKY MOOSE RECORDS",0.435,0.616,9,-7.791,1,0.0267,0.0228,0.0163,0.264,0.231,180.017,4
spotify:track:5PSRuX1qCLE5BP9UU2yE8M,"Birds","Birds","Uwe Felchle Project;Gianfranco Continenza",2023-10-23,257558,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:54Z,"jazz fusion,jam band","FUNKY MOOSE RECORDS",0.568,0.817,0,-9.282,1,0.0399,0.324,0.874,0.123,0.564,180.024,3
spotify:track:5MjOKxYAPeW5pbqWo8I3jG,"Marvin","Marvin","Uwe Felchle Project",2023-07-11,181275,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:56Z,"","FUNKY MOOSE RECORDS",0.698,0.775,1,-8.816,0,0.0435,0.00393,0.673,0.0833,0.429,96.012,4
spotify:track:6UU76HCqfZCCl9mOfgQake,"Bwoy - Radio Edit","Bwoy (Radio Edit)","Uwe Felchle Project",2023-05-11,227000,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:10:58Z,"","FUNKY MOOSE RECORDS",0.832,0.639,4,-8.351,0,0.155,0.216,0.164,0.0867,0.859,90.013,4
spotify:track:00rGU3bHER3sWE85kz7c0a,"Silberstreif - Radio Edit","Silberstreif (Radio Edit)","Uwe Felchle Project",2023-04-14,216790,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:00Z,"","FUNKY MOOSE RECORDS",0.685,0.68,4,-8.389,0,0.043,0.0306,0.000367,0.221,0.793,108.005,4
spotify:track:1KdZbgCKqPKMHTs34XwVnV,"Toledo-45","Toledo-45","Uwe Felchle Project",2023-04-11,192000,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:02Z,"","FUNKY MOOSE RECORDS",0.677,0.692,4,-11.585,1,0.0422,0.0192,0.699,0.112,0.73,119.974,4
spotify:track:7EU7CgNpfbBOqA4ILUpvDo,"...for Jeff...","...for Jeff...","Uwe Felchle Project",2023-04-11,157009,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:04Z,"","FUNKY MOOSE RECORDS",0.721,0.526,9,-10.144,0,0.0299,0.65,0.89,0.143,0.552,106.973,4
spotify:track:5GvNVtYfOrv7aDFH8FI2k4,"immer lieben","immer lieben","Uwe Felchle Project",2023-03-05,257006,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:11Z,"","FUNKY MOOSE RECORDS",0.661,0.858,9,-6.161,0,0.0442,0.00153,0.53,0.15,0.16,126.998,4
spotify:track:6I1qypAIf4GXewTcj0FTXZ,"Buddy","Buddy","Uwe Felchle Project",2023-02-13,199285,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:13Z,"","FUNKY MOOSE RECORDS",0.72,0.483,4,-13.507,0,0.0293,0.00734,0.00355,0.137,0.0777,112.019,4
spotify:track:35Ue8aZOEVV3jfmZVmZ7oM,"Christine","Christine","Uwe Felchle Project",2022-06-17,223828,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:16Z,"","FUNKY MOOSE RECORDS",0.826,0.581,7,-6.369,1,0.0885,0.0449,0.403,0.08,0.927,100.009,4
spotify:track:3dwRlA7Rr51IUFtQk0W3rv,"Halbgott","Halbgott","Uwe Felchle Project",2022-02-25,208680,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:18Z,"","FUNKY MOOSE RECORDS",0.577,0.796,0,-6.799,1,0.0364,0.0013,0.695,0.385,0.879,170.086,4
spotify:track:294KjELqjZBNczL8dmaTyg,"alive-dead","alive-dead","Uwe Felchle Project;Markus Carr",2022-02-03,182222,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:20Z,"","FUNKY MOOSE RECORDS",0.687,0.395,7,-17.467,1,0.112,0.0321,0.0483,0.14,0.284,107.945,4
spotify:track:3OwgzsJR7crCBFV4cSJ2jj,"We all have our problems, baby","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,221859,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.792,0.584,0,-12.669,1,0.0478,0.103,0,0.339,0.531,128.006,4
spotify:track:0kWdIToy1TfX1Tcbi7cyDj,"gonna get it all","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,232558,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.787,0.448,11,-12.822,0,0.0516,0.0943,0.00307,0.0826,0.523,130.041,4
spotify:track:0dKZ4NdqTUJ365SyJ0iMdV,"Badmann","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,204137,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.737,0.349,1,-14.998,1,0.252,0.0154,0.0173,0.0621,0.614,174.03,4
spotify:track:4VFPZKWHXKh241Hp8T1SaY,"My life","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,191395,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.702,0.476,4,-13.396,0,0.118,0.147,0,0.452,0.893,87.024,4
spotify:track:3Hv9Vfphx6qJOZa8d9LesG,"Conquer the world","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,269753,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.782,0.593,9,-13.807,0,0.145,0.371,0.0028,0.246,0.788,128.031,4
spotify:track:4nPBuyzI5G4rsAY4X1P8AK,"I wanna","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,233072,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.477,0.556,6,-14.398,1,0.0845,0.0459,0.000361,0.458,0.445,98.917,4
spotify:track:30BscN0IMNC7GZYH9Ouw7x,"Pimpcup","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,230971,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.698,0.517,0,-11.978,1,0.359,0.088,0,0.6,0.412,102.946,4
spotify:track:3vA5Q2pSdrvjUkErbV4DTv,"in my dreams","Re-injected","Uwe Felchle Project;Project Hustle",2022-02-03,269781,0,true,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:21Z,"","FUNKY MOOSE RECORDS",0.746,0.506,7,-14.416,1,0.158,0.243,0.000504,0.101,0.499,92.99,4
spotify:track:7Cpfr1jcpEPmnMkF7GaDYe,"Radiospective - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,93840,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.791,0.777,9,-4.658,0,0.0644,0.0596,0.684,0.1,0.761,109.991,4
spotify:track:0eDr5KhVO0byYmnmsM7hsR,"Dance - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,219840,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.707,0.764,6,-5.131,0,0.0428,0.0604,0.0000125,0.228,0.773,99.992,4
spotify:track:5PHqFHeXR8jqgybSdSCVjm,"Burning - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,223943,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.687,0.898,9,-5.512,0,0.0474,0.00334,0.000102,0.109,0.766,112.005,4
spotify:track:1zh0AjL0i3bxAFS1Uzbron,"Order me - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project;Sven Stichter",2022-01-21,276600,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.628,0.985,7,-4.603,0,0.0621,0.0108,0.0418,0.507,0.52,124.997,4
spotify:track:6aVM567Di49nVtFkMAZKxm,"Right Time - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project",2022-01-21,219120,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.649,0.88,2,-6.048,0,0.073,0.00816,0.00499,0.0626,0.762,120.029,4
spotify:track:0grdWSf7UOcNhuhRyLQ3b6,"Pick and choose - Radio Edit","Radiospective (Radio Edit)","Uwe Felchle Project;Hubert Tubbs",2022-01-21,188376,0,false,lhecfot2d0dk35zz819282qni,2026-03-26T17:11:23Z,"","FUNKY MOOSE RECORDS",0.65,0.986,2,-6.099,1,0.0479,0.00501,0.556,0.0549,0.831,115.964,4
